gradient,trait_pre,st,term,statistic,trait_type,trait,trait_abr,trait_pre2,ii,chisq_perm2
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.09622049689284418,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,2.416480245211799,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.09384530424765825,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,3.60668716177239,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,8.513508755390333e-4,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.25975952382223194,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,1.3911890833567808,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.6614923974601923,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,1.4489239886787753,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.10594253459317196,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,2.1065573969605205,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.014195080675840122,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.3578360973814215,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,1.5563522587800007,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,2.6365975154202457,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,1.2448545165742222,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.1085214432866599,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.38464225014633935,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.3009125092725455,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.11962689531356155,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,2.5071910208953727,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
elevation,shoot height (cm),"mod <- lmer(value ~ population + (1|exp_id) + (1|exp_labgroup), data = d)",population,0.0038702345076105666,shoot,shoot_height,SH  ,"shoot
height
(cm)",1,
