gene,Hs,Ht,Gst_est,Gprime_st,D_het,D_mean,n_snps,sequence_length,tops
paoC_3,0.23835777126099705,0.4458455522971652,0.4653803990352993,0.8339436190308559,0.5448431644334925,0.5411285183856339,10,2292,1
nanR_4,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,0.464257659073056,6,714,1
glxR_1,0.2520318391286133,0.4164921100404972,0.39487007544006714,0.7569502724282753,0.43975206302976005,0.3915627480435314,14,885,1
menB,0.25650048875855325,0.4142151566599785,0.380755424724572,0.7417860294343023,0.4242495536764607,0.11097846878991167,19,1008,1
paaG,0.25650048875855325,0.4142151566599785,0.380755424724572,0.7417860294343023,0.4242495536764607,0.11097846878991167,19,1008,1
frcA_2,0.23680532927844755,0.39124217081206336,0.39473465044186384,0.7416659264783265,0.4047115302511364,0.06075474715301417,18,741,1
dasC_1,0.23473444118605408,0.3868116650374715,0.3931557333894915,0.7375352370484372,0.3974495444094357,0.05480105310218126,8,828,1
idnD_2,0.2497330626362884,0.39851325496486795,0.37333812733956784,0.7246679507736746,0.39660602092200264,0.04251485548809058,39,1059,1
idnD_1,0.2497330626362884,0.39851325496486795,0.37333812733956784,0.7246679507736746,0.39660602092200264,0.04251485548809058,39,1059,1
ycaC_3,0.3114290028530784,0.4647930922124471,0.32996206683998913,0.7206195343030697,0.44545614031038,0.09982643669344696,41,644,1
ycaC_2,0.3114290028530784,0.4647930922124471,0.32996206683998913,0.7206195343030697,0.44545614031038,0.09982643669344696,41,644,1
ytfQ_1,0.2926153025859771,0.4442874492727865,0.3413829198530538,0.719553933360843,0.428825071396866,0.07257211617050188,11,963,1
yddA,0.2544862110844515,0.4011488294479497,0.36560649713307497,0.7182285187744872,0.3934538047293235,NA,66,1821,1
nodF,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,0.3988541207580433,1,282,1
dmlR_10,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,957,1
efp,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,570,1
epmA,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1053,1
ghrB,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1047,1
glk,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1020,1
lysN,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1227,1
mcbR_1,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,693,1
mraZ,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,441,1
ngcG_2,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,831,1
rlmH,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,483,1
rpoH_2,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,906,1
soxA_1,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1188,1
soxD_2,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,342,1
tdk,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,672,1
tolB,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1305,1
ugpC_10,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1071,1
xerD,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,936,1
ycaD_5,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1185,1
ycaD_2,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,1185,1
yfcA,0.32961876832844567,0.4814760508308895,0.3153994518323014,0.7153382143021598,0.4530475357247013,0.4530475357247013,1,747,1
