genome_id1,genome_id2,bray_curtis_similarity
g4,g4,1
g4,g5,0.9953290287127353
g4,g6,0.8585969738651995
g4,g8,0.9663604337915314
g4,g9,0.9029258172973746
g4,g11,0.8292956955269994
g4,g13,0.8227786640771312
g4,g16,0.8800780433419274
g4,g17,0.8855162855162855
g4,g19,0.8480475382003396
g5,g4,0.9953290287127353
g5,g5,1
g5,g6,0.8592867960897701
g5,g8,0.966189587222568
g5,g9,0.9031149301825994
g5,g11,0.829971181556196
g5,g13,0.8234395612025273
g5,g16,0.8796819418288345
g5,g17,0.8854051054384018
g5,g19,0.8481801444554595
g6,g4,0.8585969738651995
g6,g5,0.8592867960897701
g6,g6,1
g6,g8,0.8650744202146071
g6,g9,0.8361654836165484
g6,g11,0.8835245267084242
g6,g13,0.8642335766423358
g6,g16,0.8250576157552902
g6,g17,0.8217808028892901
g6,g19,0.8376347135564379
g8,g4,0.9663604337915314
g8,g5,0.966189587222568
g8,g6,0.8650744202146071
g8,g8,1
g8,g9,0.9031979256698358
g8,g11,0.83769263396013
g8,g13,0.83088954056696
g8,g16,0.8724747474747475
g8,g17,0.8791070805720265
g8,g19,0.8539277829214443
g9,g4,0.9029258172973746
g9,g5,0.9031149301825994
g9,g6,0.8361654836165484
g9,g8,0.9031979256698358
g9,g9,1
g9,g11,0.8594665885111372
g9,g13,0.8475115740740741
g9,g16,0.8999854630033435
g9,g17,0.9066994290669943
g9,g19,0.8823746584951635
g11,g4,0.8292956955269994
g11,g5,0.829971181556196
g11,g6,0.8835245267084242
g11,g8,0.83769263396013
g11,g9,0.8594665885111372
g11,g11,1
g11,g13,0.9397983813715746
g11,g16,0.8459343794579173
g11,g17,0.8441733456273495
g11,g19,0.8627308946034046
g13,g4,0.8227786640771312
g13,g5,0.8234395612025273
g13,g6,0.8642335766423358
g13,g8,0.83088954056696
g13,g9,0.8475115740740741
g13,g11,0.9397983813715746
g13,g13,1
g13,g16,0.8409411101718793
g13,g17,0.8390893169877408
g13,g19,0.8520134468206852
g16,g4,0.8800780433419274
g16,g5,0.8796819418288345
g16,g6,0.8250576157552902
g16,g8,0.8724747474747475
g16,g9,0.8999854630033435
g16,g11,0.8459343794579173
g16,g13,0.8409411101718793
g16,g16,1
g16,g17,0.9917657822506862
g16,g19,0.8695652173913043
g17,g4,0.8855162855162855
g17,g5,0.8854051054384018
g17,g6,0.8217808028892901
g17,g8,0.8791070805720265
g17,g9,0.9066994290669943
g17,g11,0.8441733456273495
g17,g13,0.8390893169877408
g17,g16,0.9917657822506862
g17,g17,1
g17,g19,0.8696584250393026
g19,g4,0.8480475382003396
g19,g5,0.8481801444554595
g19,g6,0.8376347135564379
g19,g8,0.8539277829214443
g19,g9,0.8823746584951635
g19,g11,0.8627308946034046
g19,g13,0.8520134468206852
g19,g16,0.8695652173913043
g19,g17,0.8696584250393026
g19,g19,1
