gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
AAH1,1,1,1,1,1,1,1,1,1,1
COQ3_1,1,1,0,1,1,0,0,1,1,0
COQ3_2,1,1,1,1,1,1,1,1,1,1
COQ3_3,1,1,1,1,1,1,1,1,1,1
COQ5_1,1,1,1,1,1,1,1,1,1,1
COQ5_1~~~COQ5_2~~~COQ5_3,1,1,1,1,1,1,1,1,1,1
COQ5_3~~~COQ5_1,0,0,1,0,0,1,1,0,0,1
COQ5_4,1,1,1,1,1,1,1,1,1,1
COQ5_5,1,1,1,1,1,1,1,1,1,1
COQ5_5~~~COQ5_2,1,1,1,1,1,1,1,1,1,1
FCS1,1,1,1,1,1,1,1,1,1,1
IMPDH_1,1,1,1,1,1,1,1,1,1,1
IMPDH_2,1,1,1,1,1,1,1,1,1,1
IMPDH_2~~~hrp1,1,1,1,1,1,1,1,1,1,1
IMPDH_3,1,1,1,1,1,1,1,1,1,1
LhpG,1,1,0,0,1,0,0,1,1,0
MRI1~~~mtnA,1,2,1,2,1,1,1,2,1,1
NADK,1,1,1,1,1,1,1,1,1,1
OSGEPL1,1,1,1,1,1,1,1,1,1,1
PGdx,1,1,1,1,1,1,1,1,1,1
PSK,1,1,1,1,1,1,1,1,1,1
QRSL1~~~cnbH_1,1,1,1,1,1,1,1,1,1,1
RBKS_1,0,0,1,0,0,1,1,0,0,0
RBKS_1~~~RBKS,1,1,1,1,1,1,1,1,1,0
RBKS_2~~~psuK,1,1,1,1,1,1,1,1,1,1
Vejaci,1,1,1,1,1,1,1,1,1,1
aacA4,1,1,1,1,1,1,1,1,1,1
aaeA_1,1,1,1,1,1,1,1,1,1,2
aaeA_2,1,1,1,1,1,1,1,1,1,1
aaeA_2~~~yiaV,1,1,0,1,1,0,0,0,0,0
aam,1,1,1,1,0,0,0,0,0,0
aar,2,1,2,2,1,1,1,1,1,1
aarA,1,1,1,1,1,1,1,1,1,1
aat,1,1,1,1,1,1,1,1,1,1
aatA_1~~~aatA_2~~~aatA,1,1,1,1,1,1,1,2,1,1
aatB_1,0,0,0,0,0,1,1,0,0,0
aatB_2,1,1,1,1,1,1,1,1,1,1
aatB_2~~~aatB_1,1,1,0,1,0,0,0,1,1,1
abaF,1,1,1,1,1,1,1,1,1,1
abaF_2,0,0,1,0,0,1,1,0,0,0
abfA_1~~~abfA_2,1,1,0,2,1,0,0,0,0,0
abfA_2,1,1,0,1,1,0,0,1,1,1
abgB_1,1,1,2,1,0,1,1,1,1,1
abgB_2,1,1,1,1,1,1,1,1,1,1
abgB_3,1,1,1,1,1,1,1,1,1,1
abgT,1,1,1,1,1,1,1,1,1,1
abo_2,1,1,1,1,1,1,1,1,1,1
abo_2~~~abo_1,1,1,1,1,1,2,1,2,1,1
abo_3,1,1,0,1,1,0,0,1,1,1
abo_4~~~abo_5,1,1,1,1,1,1,1,1,1,1
abo_6,1,1,1,1,1,1,1,1,1,1
accA,1,1,1,1,1,1,1,1,1,1
accA1_1,1,1,1,1,1,1,1,1,1,1
accA1_3,1,1,0,1,0,0,0,0,0,0
accB,1,1,1,1,1,1,1,1,1,1
accC,1,1,1,1,1,1,1,1,1,1
accD,1,1,1,1,1,1,1,1,1,1
acdA_1,1,1,1,1,1,1,1,1,1,1
acdA_2,1,1,1,1,1,1,1,1,1,1
acdS,1,1,0,1,1,0,0,1,1,1
ackA_1,1,1,1,1,1,1,1,1,1,1
ackA_2,1,1,0,1,1,0,0,1,1,1
acnA,1,1,1,1,1,1,1,1,1,1
acoA_1,1,1,1,1,1,1,1,1,1,1
acoA_2,1,1,1,1,1,1,1,1,1,1
acoB,1,1,1,1,1,1,1,1,1,1
acoC~~~pdhC_2~~~menH_2,1,1,1,2,1,1,1,1,1,1
acoR,1,1,2,1,1,1,1,1,1,1
acpP_1,1,1,1,1,1,1,1,1,1,1
acpP_2,0,0,0,0,0,0,0,1,1,0
acpP_3,1,1,0,1,1,0,0,0,1,0
acpP_4~~~acpP_2,0,0,0,0,1,0,0,0,0,1
acpP_5~~~acpP_4,1,1,1,1,1,1,1,1,1,1
acpP_6~~~acpP_3~~~acpP_2,0,0,1,0,1,1,1,1,1,1
acpS,1,1,1,1,1,1,1,1,1,1
acpXL,1,1,1,1,1,1,1,1,1,1
