genome_id,species,strain,replicon,qseqid,scomment,sseqid,pident,length,bitscore
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.704,79076,113800
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.661,68712,98846
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.568,58169,83225
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,96.042,46508,75614
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.143,53577,69466
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.377,41297,61007
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.634,40007,57457
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.819,36030,54139
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.26,35387,50012
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.128,36859,49753
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,94.189,32114,48941
g2,adhaerens,Corn53,chromosome,contig_1,"Ensifer adhaerens strain Corn53 chromosome, complete genome",NZ_CP030262.1,92.449,33028,46987
g2,adhaerens,Casida,chromosome,contig_1,"Ensifer adhaerens strain Casida A chromosome, complete genome",NZ_CP015880.1,92.444,33034,46987
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.865,31856,46135
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,91.239,33685,45748
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.298,32045,45347
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.287,30374,44686
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,91.795,31992,44475
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.831,29433,42608
g2,canadensis,T173,plasmid pT173d,contig_3,"Ensifer canadensis strain T173 plasmid pT173d, complete sequence",NZ_CP083374.1,92.33,29806,42265
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.937,30487,40867
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.463,28762,37752
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.048,24654,35940
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.328,24739,35115
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.049,23709,34598
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.882,22768,34310
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.573,23898,34249
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.682,22476,33576
g2,canadensis,T173,plasmid pT173d,contig_3,"Ensifer canadensis strain T173 plasmid pT173d, complete sequence",NZ_CP083374.1,92.612,22549,32359
g2,canadensis,T173,plasmid pT173d,contig_3,"Ensifer canadensis strain T173 plasmid pT173d, complete sequence",NZ_CP083374.1,91.779,22918,31815
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.811,21882,31569
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.14,22150,31213
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.611,21480,29630
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.78,22191,29575
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.361,19898,29410
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,92.292,20460,29000
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.123,20527,28845
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,92.109,20162,28378
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.655,21283,28173
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.49,18895,28049
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.518,20385,28033
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.235,19039,27987
g2,canadensis,T173,plasmid pT173d,contig_3,"Ensifer canadensis strain T173 plasmid pT173d, complete sequence",NZ_CP083374.1,91.004,20508,27549
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,92.077,19475,27383
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.79,19659,27313
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.538,19818,27253
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.901,19446,27132
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.607,17974,26810
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.23,19338,26227
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.819,18408,25569
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.365,17905,25423
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.605,19192,25366
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.26,17869,25270
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,95.504,15680,25037
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.962,16512,24927
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,92.032,17746,24886
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.884,17533,24432
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,93.112,16624,24334
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.003,17345,24319
