genome_id,qseqid,scomment,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,accession
g2,16S_rRNA::contig_1:446870-448352(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.785,1481,14,4,1,1479,3,1481,0,2638,NR_115519.1
g2,16S_rRNA::contig_1:4545-6027(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.785,1481,14,4,1,1479,3,1481,0,2638,NR_115519.1
g2,16S_rRNA::contig_1:907353-908835(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.785,1481,14,4,1,1479,3,1481,0,2638,NR_115519.1
g2,16S_rRNA::contig_2:1500318-1501800(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.717,1481,15,4,1,1479,3,1481,0,2632,NR_115519.1
g2,16S_rRNA::contig_3:7297-8779(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.785,1481,14,4,1,1479,3,1481,0,2638,NR_115519.1
g3,16S_rRNA::contig_1:2745631-2747113(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.582,1481,17,4,1,1479,3,1481,0,2621,NR_115519.1
g3,16S_rRNA::contig_1:523-2005(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.65,1481,16,4,1,1479,3,1481,0,2627,NR_115519.1
g3,16S_rRNA::contig_2:3236315-3237797(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.65,1481,16,4,1,1479,3,1481,0,2627,NR_115519.1
g3,16S_rRNA::contig_2:3715943-3717425(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.65,1481,16,4,1,1479,3,1481,0,2627,NR_115519.1
g3,16S_rRNA::contig_2:90402-91884(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.65,1481,16,4,1,1479,3,1481,0,2627,NR_115519.1
g4,16S_rRNA::contig_4:2178485-2179967(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g4,16S_rRNA::contig_4:2648084-2649566(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
