genome_id,species,strain,replicon,qseqid,scomment,sseqid,pident,length,bitscore
g2,canadensis,T173,chromosome,contig_1,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,92.704,79076,113800
g2,canadensis,T173,plasmid pT173e,contig_2,"Ensifer canadensis strain T173 plasmid pT173e, complete sequence",NZ_CP083371.1,90.143,53577,69466
g2,canadensis,T173,plasmid pT173d,contig_3,"Ensifer canadensis strain T173 plasmid pT173d, complete sequence",NZ_CP083374.1,92.33,29806,42265
g3,canadensis,T173,chromosome,contig_2,"Ensifer canadensis strain T173 chromosome, complete genome",NZ_CP083370.1,91.386,59670,81547
g4,medicae,WSM1115,plasmid pWSM1115_2,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_2, complete sequence",NZ_CP088111.1,99.802,105698,194000
g4,meliloti,USDA1021,plasmid accessoryA,contig_16,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",NZ_CP021803.1,99.859,11338,20847
g4,medicae,WSM1115,plasmid pWSM1115_1,contig_2,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.467,459594,834900
g4,medicae,WSM419,plasmid pSMED03,contig_3,"Sinorhizobium medicae WSM419 plasmid pSMED03, complete sequence",NC_009622.1,99.255,27400,49441
g4,medicae,SU277,chromosome,contig_4,"Sinorhizobium medicae strain SU277 chromosome, complete genome",NZ_CP104147.1,99.875,770618,1418000
g4,canadensis,T173,plasmid pT173b,contig_8,"Ensifer canadensis strain T173 plasmid pT173b, complete sequence",NZ_CP083372.1,99.217,27198,48955
g4,medicae,WSM1115,chromosome,contig_9,"Sinorhizobium medicae WSM1115 chromosome, complete genome",NZ_CP088109.1,99.718,162575,297600
g5,medicae,WSM1115,plasmid pWSM1115_1,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.463,459607,834800
g5,meliloti,USDA1021,plasmid accessoryA,contig_13,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",NZ_CP021803.1,99.832,11340,20833
g5,canadensis,T173,plasmid pT173b,contig_14,"Ensifer canadensis strain T173 plasmid pT173b, complete sequence",NZ_CP083372.1,99.217,27198,48955
g5,medicae,WSM1115,plasmid pWSM1115_2,contig_2,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_2, complete sequence",NZ_CP088111.1,99.796,105703,194000
g5,medicae,SU277,chromosome,contig_3,"Sinorhizobium medicae strain SU277 chromosome, complete genome",NZ_CP104147.1,99.877,770602,1418000
g5,medicae,WSM419,plasmid pSMED03,contig_4,"Sinorhizobium medicae WSM419 plasmid pSMED03, complete sequence",NC_009622.1,98.87,27443,48881
g6,medicae,SU277,plasmid pSU277_3,contig_1,"Sinorhizobium medicae strain SU277 plasmid pSU277_3, complete sequence",NZ_CP104150.1,94.996,7893,12362
g6,medicae,WSM419,chromosome,contig_11,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.812,326155,598800
g6,canadensis,T173,plasmid pT173b,contig_3,"Ensifer canadensis strain T173 plasmid pT173b, complete sequence",NZ_CP083372.1,99.213,27199,48952
g6,meliloti,USDA1021,plasmid accessoryA,contig_4,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",NZ_CP021803.1,99.859,11337,20847
g6,medicae,WSM1115,plasmid pWSM1115_3,contig_5,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,98.072,21424,37244
g6,medicae,SU277,plasmid pSU277_2,contig_6,"Sinorhizobium medicae strain SU277 plasmid pSU277_2, complete sequence",NZ_CP104149.1,99.449,181647,329800
g6,medicae,SU277,chromosome,contig_8,"Sinorhizobium medicae strain SU277 chromosome, complete genome",NZ_CP104147.1,99.883,456140,839300
g6,medicae,WSM419,plasmid pSMED01,contig_9,"Sinorhizobium medicae WSM419 plasmid pSMED01, complete sequence",NC_009620.1,99.885,300696,553300
g8,medicae,WSM1115,plasmid pWSM1115_2,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_2, complete sequence",NZ_CP088111.1,99.774,111469,204400
g8,medicae,WSM419,plasmid pSMED03,contig_2,"Sinorhizobium medicae WSM419 plasmid pSMED03, complete sequence",NC_009622.1,99.241,27398,49413
g8,meliloti,USDA1021,plasmid accessoryA,contig_3,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",NZ_CP021803.1,99.85,11339,20844
g8,medicae,WSM1115,plasmid pWSM1115_1,contig_4,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.471,459548,834900
g8,medicae,SU277,chromosome,contig_5,"Sinorhizobium medicae strain SU277 chromosome, complete genome",NZ_CP104147.1,99.876,770934,1418000
g8,canadensis,T173,plasmid pT173b,contig_6,"Ensifer canadensis strain T173 plasmid pT173b, complete sequence",NZ_CP083372.1,99.221,27197,48961
g9,medicae,WSM419,plasmid pSMED03,contig_1,"Sinorhizobium medicae WSM419 plasmid pSMED03, complete sequence",NC_009622.1,99.333,30453,55090
g9,medicae,WSM1115,plasmid pWSM1115_1,contig_2,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.464,459594,834800
g9,medicae,WSM1115,plasmid pWSM1115_2,contig_3,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_2, complete sequence",NZ_CP088111.1,99.796,135242,248200
g9,medicae,WSM419,chromosome,contig_4,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.867,381182,701000
g10,meliloti,USDA1021,plasmid psymA,contig_1,"Sinorhizobium meliloti strain USDA1021 plasmid psymA, complete sequence",NZ_CP021801.1,99.665,110730,202400
g10,meliloti,USDA1021,chromosome,contig_2,"Sinorhizobium meliloti strain USDA1021 chromosome, complete genome",NZ_CP021800.1,99.593,188279,343400
g10,meliloti,USDA1106,plasmid psymB,contig_3,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",NZ_CP021799.1,99.312,261367,472600
g11,medicae,WSM1115,plasmid pWSM1115_1,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.954,445013,820600
g11,medicae,WSM419,plasmid pSMED02,contig_2,"Sinorhizobium medicae WSM419 plasmid pSMED02, complete sequence",NC_009621.1,99.776,151237,277400
g11,medicae,WSM419,chromosome,contig_3,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.904,744277,1370000
g11,meliloti,USDA1021,plasmid accessoryA,contig_4,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",NZ_CP021803.1,98.525,9693,17088
g11,medicae,SU277,plasmid pSU277_3,contig_5,"Sinorhizobium medicae strain SU277 plasmid pSU277_3, complete sequence",NZ_CP104150.1,94.787,7884,12255
g13,medicae,WSM1115,plasmid pWSM1115_3,contig_2,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,95.244,16841,26629
g13,medicae,WSM419,plasmid pSMED02,contig_3,"Sinorhizobium medicae WSM419 plasmid pSMED02, complete sequence",NC_009621.1,99.771,151757,278200
g13,medicae,WSM1115,plasmid pWSM1115_1,contig_4,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.949,402759,742500
g13,medicae,SU277,plasmid pSU277_3,contig_5,"Sinorhizobium medicae strain SU277 plasmid pSU277_3, complete sequence",NZ_CP104150.1,98.35,13150,23073
g13,medicae,WSM419,chromosome,contig_6,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.971,613192,1131000
g15,adhaerens,Casida,plasmid pCasidaAA,contig_3,"Ensifer adhaerens strain Casida A plasmid pCasidaAA, complete sequence",NZ_CP015881.1,99.068,279720,501900
g15,adhaerens,Corn53,plasmid AB,contig_4,"Ensifer adhaerens strain Corn53 plasmid AB, complete sequence",NZ_CP030264.1,99.292,117168,211700
g15,adhaerens,Corn53,chromosome,contig_5,"Ensifer adhaerens strain Corn53 chromosome, complete genome",NZ_CP030262.1,98.975,408117,730200
g16,medicae,WSM1115,plasmid pWSM1115_3,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,96.117,15066,24567
g16,medicae,SU277,plasmid pSU277_2,contig_2,"Sinorhizobium medicae strain SU277 plasmid pSU277_2, complete sequence",NZ_CP104149.1,99.588,101986,186000
g16,medicae,WSM419,chromosome,contig_3,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.843,690549,1269000
g16,medicae,WSM1115,plasmid pWSM1115_3,contig_4,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,99.827,34750,63836
g16,medicae,WSM1115,plasmid pWSM1115_1,contig_5,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.956,445008,820600
g17,medicae,SU277,plasmid pSU277_2,contig_10,"Sinorhizobium medicae strain SU277 plasmid pSU277_2, complete sequence",NZ_CP104149.1,99.588,101989,186000
g17,medicae,WSM1115,plasmid pWSM1115_3,contig_3,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,99.81,34754,63806
g17,medicae,WSM419,chromosome,contig_7,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.843,690555,1269000
g17,medicae,WSM1115,plasmid pWSM1115_3,contig_8,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,96.123,15065,24570
g17,medicae,WSM1115,plasmid pWSM1115_1,contig_9,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",NZ_CP088110.1,99.955,445005,820600
g19,medicae,WSM1115,plasmid pWSM1115_2,contig_1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_2, complete sequence",NZ_CP088111.1,99.76,111444,204300
g19,medicae,WSM1115,plasmid pWSM1115_3,contig_2,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_3, complete sequence",NZ_CP088112.1,99.822,34752,63826
g19,medicae,WSM419,chromosome,contig_3,"Sinorhizobium medicae WSM419, complete sequence",NC_009636.1,99.971,598517,1104000
g19,medicae,WSM419,plasmid pSMED01,contig_8,"Sinorhizobium medicae WSM419 plasmid pSMED01, complete sequence",NC_009620.1,99.635,296695,541800
g20,meliloti,USDA1021,plasmid psymA,contig_1,"Sinorhizobium meliloti strain USDA1021 plasmid psymA, complete sequence",NZ_CP021801.1,99.669,110730,202400
g20,meliloti,USDA1106,plasmid psymB,contig_2,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",NZ_CP021799.1,99.582,152433,277900
g20,meliloti,USDA1021,chromosome,contig_3,"Sinorhizobium meliloti strain USDA1021 chromosome, complete genome",NZ_CP021800.1,99.945,325467,600000
g21,medicae,SU277,plasmid pSU277_3,contig_1,"Sinorhizobium medicae strain SU277 plasmid pSU277_3, complete sequence",NZ_CP104150.1,94.989,11016,17226
g21,meliloti,1021,plasmid pSymA,contig_2,"Sinorhizobium meliloti 1021 plasmid pSymA, complete sequence",NC_003037.1,99.697,99475,182000
g21,meliloti,1021,chromosome,contig_3,"Sinorhizobium meliloti 1021, complete sequence",NC_003047.1,99.927,393811,725500
g21,meliloti,USDA1021,plasmid psymB,contig_4,"Sinorhizobium meliloti strain USDA1021 plasmid psymB, complete sequence",NZ_CP021802.1,99.375,145394,263400
g21,medicae,SU277,plasmid pSU277_3,contig_5,"Sinorhizobium medicae strain SU277 plasmid pSU277_3, complete sequence",NZ_CP104150.1,96.472,7057,11631
g22,meliloti,USDA1106,plasmid psymA,contig_1,"Sinorhizobium meliloti strain USDA1106 plasmid psymA, complete sequence",NZ_CP021798.1,99.49,119866,217900
g22,meliloti,USDA1106,plasmid psymB,contig_2,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",NZ_CP021799.1,99.807,248718,456600
g22,meliloti,USDA1021,chromosome,contig_3,"Sinorhizobium meliloti strain USDA1021 chromosome, complete genome",NZ_CP021800.1,99.788,197338,362000
g23,meliloti,USDA1106,plasmid psymB,contig_1,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",NZ_CP021799.1,99.806,248723,456600
g23,meliloti,USDA1106,plasmid psymA,contig_2,"Sinorhizobium meliloti strain USDA1106 plasmid psymA, complete sequence",NZ_CP021798.1,99.482,119875,217900
g23,meliloti,USDA1021,chromosome,contig_3,"Sinorhizobium meliloti strain USDA1021 chromosome, complete genome",NZ_CP021800.1,99.789,197337,362000
g24,meliloti,USDA1021,plasmid psymA,contig_1,"Sinorhizobium meliloti strain USDA1021 plasmid psymA, complete sequence",NZ_CP021801.1,99.194,95389,171800
g24,meliloti,USDA1106,chromosome,contig_10,"Sinorhizobium meliloti strain USDA1106 chromosome, complete genome",NZ_CP021797.1,99.881,239486,440600
g24,meliloti,USDA1021,plasmid psymB,contig_3,"Sinorhizobium meliloti strain USDA1021 plasmid psymB, complete sequence",NZ_CP021802.1,98.714,143810,255200
g25,meliloti,1021,plasmid pSymA,contig_2,"Sinorhizobium meliloti 1021 plasmid pSymA, complete sequence",NC_003037.1,97.273,14923,25287
g25,meliloti,USDA1106,plasmid psymA,contig_3,"Sinorhizobium meliloti strain USDA1106 plasmid psymA, complete sequence",NZ_CP021798.1,99.234,133635,241000
g25,meliloti,1021,chromosome,contig_5,"Sinorhizobium meliloti 1021, complete sequence",NC_003047.1,99.952,392666,724000
g25,meliloti,USDA1106,plasmid psymB,contig_6,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",NZ_CP021799.1,99.235,279498,504100
