genome_id,contig_species,contig_sseqid,contig_pident,contig_length,rrna_species,rrna_sseqid,rrna_pident,rrna_length
g2,S. canadensis,NZ_CP083370.1,92.704,79076,S. fredii,NR_115519.1,98.785,1481
g3,S. canadensis,NZ_CP083370.1,91.386,59670,S. fredii,NR_115519.1,98.65,1481
g4,S. medicae,NZ_CP104147.1,99.875,770618,S. meliloti,NR_043399.1,99.527,1479
g5,S. medicae,NZ_CP104147.1,99.877,770602,S. meliloti,NR_043399.1,99.527,1479
g6,S. medicae,NZ_CP104147.1,99.883,456140,S. meliloti,NR_043399.1,99.527,1479
g8,S. medicae,NZ_CP104147.1,99.876,770934,S. meliloti,NR_043399.1,99.527,1479
g9,S. medicae,NC_009636.1,99.867,381182,S. meliloti,NR_043399.1,99.527,1479
g10,S. meliloti,NZ_CP021800.1,99.593,188279,S. meliloti,NR_043399.1,99.662,1479
g11,S. medicae,NC_009636.1,99.904,744277,S. meliloti,NR_043399.1,99.527,1479
g13,S. medicae,NC_009636.1,99.971,613192,S. meliloti,NR_043399.1,99.527,1479
g15,S. adhaerens,NZ_CP030262.1,98.975,408117,S. fredii,NR_115519.1,98.92,1481
g16,S. medicae,NC_009636.1,99.843,690549,S. meliloti,NR_043399.1,99.527,1479
g17,S. medicae,NC_009636.1,99.843,690555,S. meliloti,NR_043399.1,99.527,1479
g19,S. medicae,NC_009636.1,99.971,598517,S. meliloti,NR_043399.1,99.527,1479
g20,S. meliloti,NZ_CP021800.1,99.945,325467,S. meliloti,NR_043399.1,99.662,1479
g21,S. meliloti,NC_003047.1,99.927,393811,S. meliloti,NR_043399.1,99.662,1479
g22,S. meliloti,NZ_CP021800.1,99.788,197338,S. meliloti,NR_043399.1,99.662,1479
g23,S. meliloti,NZ_CP021800.1,99.789,197337,S. meliloti,NR_043399.1,99.662,1479
g24,S. meliloti,NZ_CP021797.1,99.881,239486,S. meliloti,NR_043399.1,99.662,1479
g25,S. meliloti,NC_003047.1,99.952,392666,S. meliloti,NR_043399.1,99.662,1479
g26,S. meliloti,NC_003047.1,99.957,392655,S. meliloti,NR_043399.1,99.662,1479
g27,S. meliloti,NC_003047.1,99.952,282333,S. meliloti,NR_043399.1,99.662,1479
g29,S. medicae,NZ_CP104147.1,99.874,770524,S. meliloti,NR_043399.1,99.527,1479
g30,S. medicae,NZ_CP104147.1,99.874,770531,S. meliloti,NR_043399.1,99.527,1479
g31,S. meliloti,NC_003047.1,99.946,347722,S. meliloti,NR_043399.1,99.662,1479
g32,S. meliloti,NC_003047.1,99.951,347711,S. meliloti,NR_043399.1,99.662,1479
g33,S. meliloti,NC_003047.1,99.96,473698,S. meliloti,NR_043399.1,99.662,1479
g34,S. meliloti,NC_003047.1,99.954,237861,S. meliloti,NR_043399.1,99.662,1479
g35,S. meliloti,NC_003047.1,99.949,426605,S. meliloti,NR_043399.1,99.662,1479
g36,S. meliloti,NC_003047.1,99.954,392665,S. meliloti,NR_043399.1,99.662,1479
g37,S. meliloti,NC_003047.1,99.953,392654,S. meliloti,NR_043399.1,99.662,1479
g39,S. meliloti,NZ_CP021797.1,99.929,280615,S. meliloti,NR_043399.1,99.662,1479
g40,S. medicae,NZ_CP104147.1,99.638,380410,S. meliloti,NR_043399.1,99.527,1479
g41,S. meliloti,NC_003047.1,99.952,347706,S. meliloti,NR_043399.1,99.662,1479
g42,S. meliloti,NZ_CP021797.1,99.954,217637,S. meliloti,NR_043399.1,99.662,1479
g43,S. meliloti,NC_003047.1,99.953,392651,S. meliloti,NR_043399.1,99.662,1479
g44,S. meliloti,NC_003047.1,99.933,393788,S. meliloti,NR_043399.1,99.662,1479
g45,S. meliloti,NC_003047.1,99.955,347698,S. meliloti,NR_043399.1,99.662,1479
