genome_id,name,query_containment_ani
g2,"GCF_014851895.1 Ensifer sp. ENS11 strain=ENS11, ASM1485189v1",0.9355400904378914
g2,"GCF_001270265.1 Ensifer adhaerens strain=SD006, SD006_V1",0.9206948088334412
g2,"GCF_003355565.1 Ensifer sp. M14 strain=M14, ASM335556v1",0.916127923519375
g2,"GCF_013371465.1 Ensifer sp. HO-A22 strain=HO-A22, ASM1337146v1",0.9133809939846528
g2,"GCF_001695855.1 Ensifer sp. LC163 strain=LC163, LC163_v1",0.918526816763786
g2,"GCA_900469215.1 Rhizobiales bacterium, AFS045205",0.9062900180647886
g2,"GCF_013283195.1 Ensifer adhaerens strain=Lc04, ASM1328319v1",0.91309217554947
g3,"GCF_003355565.1 Ensifer sp. M14 strain=M14, ASM335556v1",0.9870775527439604
g3,"GCF_002002725.1 Sinorhizobium sp. A49 strain=A49, ASM200272v1",0.9863987887807798
g3,"GCF_014852205.1 Ensifer sp. ENS06 strain=ENS06, ASM1485220v1",0.9134274464273844
g3,"GCF_013283195.1 Ensifer adhaerens strain=Lc04, ASM1328319v1",0.9359176824079484
g4,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1",0.9943092412032796
g4,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.990819952935159
g4,"GCF_004004695.1 Sinorhizobium medicae strain=3082, ASM400469v1",0.9936229966048992
g4,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1",0.9917714704298948
g4,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1",0.9119825331907244
g5,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1",0.9943063981160882
g5,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9908213432316682
g5,"GCF_004004695.1 Sinorhizobium medicae strain=3082, ASM400469v1",0.993620951305314
g5,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1",0.9917716617361968
g5,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1",0.9119461420322228
g6,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1",0.9923924379893804
g6,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9921244908031728
g6,"GCF_004002565.1 Sinorhizobium medicae strain=USDA1652, ASM400256v1",0.9906809894359464
g6,"GCF_004001735.1 Sinorhizobium meliloti strain=USDA1787, ASM400173v1",0.9137246233299836
g6,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1",0.989306060254366
g6,"GCF_004003495.1 Sinorhizobium meliloti strain=USDA1211, ASM400349v1",0.9113133044840652
g8,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1",0.99452607614059
g8,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9913908746407114
g8,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1",0.994039007905711
g8,"GCA_000372345.1 Sinorhizobium medicae WSM1369 strain=WSM1369, ASM37234v1",0.9896765719234978
g8,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1",0.9157751273907158
g9,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1",0.995998974080722
g9,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1",0.995690444914518
g9,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9922172872472604
g9,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1",0.9959565884340474
g10,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1",0.9971848377607612
g10,"GCF_023733835.1 Sinorhizobium meliloti strain=CE52G, ASM2373383v1",0.990592468334099
g10,"GCF_004002915.1 Sinorhizobium meliloti strain=USDA1508, ASM400291v1",0.991239447665669
g11,"GCF_002864945.1 Sinorhizobium medicae strain=Str18, ASM286494v1",0.9935646256425744
g11,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9930614046220592
g11,"GCF_004001385.1 Sinorhizobium meliloti strain=USDA1883, ASM400138v1",0.9192761788186266
g11,"GCF_009601285.1 Sinorhizobium medicae strain=M1, ASM960128v1",0.9923972725503318
g13,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1",0.9933779075441248
g13,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9932183169418052
g13,"GCF_004001385.1 Sinorhizobium meliloti strain=USDA1883, ASM400138v1",0.9180848658584964
g13,"GCF_004004025.1 Sinorhizobium medicae strain=USDA1149, ASM400402v1",0.993278941895292
g13,"GCA_002864955.1 Sinorhizobium medicae strain=Str17, ASM286495v1",0.9916249347100498
g15,"GCF_014852195.1 Ensifer sp. ENS08 strain=ENS08, ASM1485219v1",0.9881845612704934
g15,"GCF_023821965.1 Ensifer adhaerens strain=M8, ASM2382196v1",0.9868514541865248
g15,"GCA_900470665.1 Rhizobiales bacterium, AFS061958",0.9861110879107996
g15,"GCF_003269115.1 Ensifer adhaerens strain=AG1206, ASM326911v1",0.9857913121792112
g15,"GCF_014852035.1 Ensifer sp. ENS03 strain=ENS03, ASM1485203v1",0.986686319054515
g15,"GCF_014851775.1 Ensifer sp. ENS01 strain=ENS01, ASM1485177v1",0.9877362665463576
g15,"GCF_019265955.1 Ensifer adhaerens strain=E-60, ASM1926595v1",0.9849489080787392
g16,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1",0.994541395588722
g16,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9909656730499472
g16,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1",0.9939937534440922
g16,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1",0.9918837537476316
g17,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1",0.994581819250324
g17,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1",0.9909997933965272
g17,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1",0.9940385725669868
g17,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1",0.9919195567919006
g19,"GCA_002864985.1 Sinorhizobium medicae strain=Str16, ASM286498v1",0.9951051543893764
g19,"GCF_004002305.1 Sinorhizobium medicae strain=USDA1629, ASM400230v1",0.99476692279219
g19,"GCF_004017565.1 Sinorhizobium medicae strain=USDA1638, ASM401756v1",0.9939277315329724
g19,"GCF_004002155.1 Sinorhizobium medicae strain=USDA1664, ASM400215v1",0.99231456087475
g20,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1",0.996934683866881
g20,"GCF_004003495.1 Sinorhizobium meliloti strain=USDA1211, ASM400349v1",0.991704561979002
g21,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1",0.9938595867269356
g21,"GCF_004001675.1 Sinorhizobium meliloti strain=USDA1791, ASM400167v1",0.9896797943909597
g21,"GCF_004002805.1 Sinorhizobium meliloti strain=USDA1530, ASM400280v1",0.9930601651666912
g21,"GCF_004003025.1 Sinorhizobium meliloti strain=USDA1614, ASM400302v1",0.9904005151189594
g21,"GCF_021052665.1 Sinorhizobium meliloti strain=RRI128, ASM2105266v1",0.9916205588391714
g21,"GCF_009601235.1 Sinorhizobium meliloti strain=N6B7, ASM960123v1",0.991880977557498
g22,"GCF_009664245.1 Sinorhizobium meliloti strain=AK21, ASM966424v1",0.994544872300612
g22,"GCF_004003675.1 Sinorhizobium meliloti strain=USDA1232, ASM400367v1",0.99203556462807585
g22,"GCF_004002895.1 Sinorhizobium meliloti strain=USDA1519, ASM400289v1",0.9941294180254184
g22,"GCF_009601325.1 Sinorhizobium meliloti strain=M10, ASM960132v1",0.9870033400130837
g22,"GCF_004001745.1 Sinorhizobium meliloti strain=USDA1742, ASM400174v1",0.9927289571738972
g23,"GCF_009664245.1 Sinorhizobium meliloti strain=AK21, ASM966424v1",0.9945668842724432
g23,"GCF_004003675.1 Sinorhizobium meliloti strain=USDA1232, ASM400367v1",0.992083036415626
g23,"GCF_004002895.1 Sinorhizobium meliloti strain=USDA1519, ASM400289v1",0.9941461365733114
g23,"GCF_009601325.1 Sinorhizobium meliloti strain=M10, ASM960132v1",0.9870240843847624
g23,"GCF_004001745.1 Sinorhizobium meliloti strain=USDA1742, ASM400174v1",0.9927812513384248
g24,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1",0.998711162942205
g24,"GCF_004002455.1 Sinorhizobium meliloti strain=USDA1571, ASM400245v1",0.991290547825069
g25,"GCF_004017615.1 Sinorhizobium meliloti strain=USDA1496, ASM401761v1",0.996223875258332
g25,"GCF_000147775.2 Sinorhizobium meliloti BL225C strain=BL225C, ASM14777v3",0.995953420704841
g25,"GCF_002197025.1 Sinorhizobium meliloti strain=USDA1157, ASM219702v1",0.9960264523821102
g25,"GCA_000287455.1 Sinorhizobium meliloti A0641M strain=A0641M, SMA0641M_v1",0.9916369379375076
g26,"GCF_004017615.1 Sinorhizobium meliloti strain=USDA1496, ASM401761v1",0.9962215809151512
g26,"GCF_000147775.2 Sinorhizobium meliloti BL225C strain=BL225C, ASM14777v3",0.9959300425016538
g26,"GCF_002197025.1 Sinorhizobium meliloti strain=USDA1157, ASM219702v1",0.9960605099912286
g26,"GCA_000287455.1 Sinorhizobium meliloti A0641M strain=A0641M, SMA0641M_v1",0.9916671815471504
g27,"GCF_004003075.1 Sinorhizobium meliloti strain=USDA1583, ASM400307v1",0.9973031947297284
g27,"GCF_004017685.1 Sinorhizobium meliloti strain=USDA1184, ASM401768v1",0.9937340188191672
g27,"GCF_000473405.1 Sinorhizobium meliloti BO21CC strain=BO21CC, ASM47340v1",0.9944396782694894
