genome_id,contig_id,contig_length
g2,g2_contig_1,3889131
g2,g2_contig_2,1754897
g2,g2_contig_3,1145837
g3,g3_contig_2,4184339
g3,g3_contig_1,2806943
g3,g3_contig_3,519846
g4,g4_contig_4,3463497
g4,g4_contig_2,1544111
g4,g4_contig_1,1394866
g4,g4_contig_9,568840
g4,g4_contig_3,235333
g4,g4_contig_8,231377
g4,g4_contig_16,162150
g5,g5_contig_3,4017999
g5,g5_contig_1,1544114
g5,g5_contig_2,1394846
g5,g5_contig_14,235332
g5,g5_contig_4,206703
g5,g5_contig_13,162146
g6,g6_contig_8,3012466
g6,g6_contig_9,1577319
g6,g6_contig_6,1262877
g6,g6_contig_11,900708
g6,g6_contig_1,255461
g6,g6_contig_3,221152
g6,g6_contig_5,181208
g6,g6_contig_4,168438
g8,g8_contig_5,3996302
g8,g8_contig_4,1545183
g8,g8_contig_1,1308246
g8,g8_contig_6,253209
g8,g8_contig_2,238562
g8,g8_contig_3,171489
g9,g9_contig_4,3931736
g9,g9_contig_2,1547194
g9,g9_contig_3,1297680
g9,g9_contig_1,217217
g10,g10_contig_2,4312801
g10,g10_contig_1,1640891
g10,g10_contig_3,1631106
g11,g11_contig_3,3901018
g11,g11_contig_1,1562491
g11,g11_contig_2,1276442
g11,g11_contig_5,280810
g11,g11_contig_4,230488
g13,g13_contig_6,3935928
g13,g13_contig_4,1566785
g13,g13_contig_3,1273470
g13,g13_contig_5,410021
g13,g13_contig_2,217682
g15,g15_contig_5,4036216
g15,g15_contig_3,1849550
g15,g15_contig_4,1640524
g15,g15_contig_1,362759
g15,g15_contig_6,135891
g16,g16_contig_3,3927202
g16,g16_contig_5,1536110
g16,g16_contig_2,1475422
g16,g16_contig_1,249547
g16,g16_contig_4,165345
g17,g17_contig_7,3978245
g17,g17_contig_9,1537991
g17,g17_contig_10,1475719
g17,g17_contig_8,249623
g17,g17_contig_3,177131
g19,g19_contig_3,3943792
g19,g19_contig_8,1608205
g19,g19_contig_1,1371123
g19,g19_contig_2,258776
g20,g20_contig_3,4088896
g20,g20_contig_2,1684347
g20,g20_contig_1,1653746
g21,g21_contig_3,3715414
g21,g21_contig_4,1680152
g21,g21_contig_2,1255792
g21,g21_contig_1,332364
g21,g21_contig_5,131678
g22,g22_contig_3,3775387
g22,g22_contig_2,1714659
g22,g22_contig_1,1591414
g23,g23_contig_3,3775404
g23,g23_contig_1,1714718
g23,g23_contig_2,1582217
g24,g24_contig_10,3777226
g24,g24_contig_1,1860972
g24,g24_contig_3,1640288
g25,g25_contig_5,3818409
g25,g25_contig_6,1656445
g25,g25_contig_3,1515723
g25,g25_contig_2,240460
g26,g26_contig_3,3818417
g26,g26_contig_4,1638413
g26,g26_contig_1,1515631
g26,g26_contig_2,240459
g27,g27_contig_3,3747451
g27,g27_contig_2,1685796
g27,g27_contig_1,1443205
g27,g27_contig_6,181908
g27,g27_contig_5,124843
g29,g29_contig_1,4144345
g29,g29_contig_14,1552021
g29,g29_contig_2,1285489
g29,g29_contig_3,228107
g29,g29_contig_11,197494
g29,g29_contig_13,138827
g30,g30_contig_2,4133951
g30,g30_contig_8,1552076
g30,g30_contig_6,1286657
g30,g30_contig_3,234492
g30,g30_contig_7,197507
g30,g30_contig_5,119967
g31,g31_contig_1,3703244
g31,g31_contig_5,1653532
g31,g31_contig_4,1404547
g31,g31_contig_3,192502
g31,g31_contig_2,129176
g32,g32_contig_1,3703255
g32,g32_contig_2,1653561
g32,g32_contig_4,1404553
g32,g32_contig_5,192508
g32,g32_contig_3,129173
g33,g33_contig_5,3648612
g33,g33_contig_4,1684793
g33,g33_contig_1,1649477
g33,g33_contig_3,197831
g34,g34_contig_3,3781582
g34,g34_contig_2,1649423
g34,g34_contig_1,1336062
g34,g34_contig_4,196303
g34,g34_contig_5,130089
g35,g35_contig_3,3785483
g35,g35_contig_1,1680838
g35,g35_contig_2,1386883
g35,g35_contig_4,129162
g36,g36_contig_3,3721623
g36,g36_contig_4,1671376
g36,g36_contig_1,1509852
g36,g36_contig_2,238253
g37,g37_contig_3,3633966
g37,g37_contig_1,1654972
g37,g37_contig_2,1633788
g39,g39_contig_1,3715318
g39,g39_contig_2,1680093
g39,g39_contig_3,1255763
g39,g39_contig_4,299635
g39,g39_contig_5,131672
g40,g40_contig_4,2388524
g40,g40_contig_22,720804
g40,g40_contig_3,565563
g40,g40_contig_72,483768
g40,g40_contig_42,459733
g40,g40_contig_5,443227
g40,g40_contig_26,406653
g40,g40_contig_40,379551
g40,g40_contig_69,350149
g40,g40_contig_6,276641
g40,g40_contig_24,263527
g40,g40_contig_18,233178
g40,g40_contig_7,214432
g40,g40_contig_8,209239
g40,g40_contig_2,197489
g40,g40_contig_67,130798
g40,g40_contig_37,123660
g40,g40_contig_83,117175
g40,g40_contig_70,115335
g40,g40_contig_71,108511
g41,g41_contig_3,3703150
g41,g41_contig_5,1653509
g41,g41_contig_1,1404501
g41,g41_contig_2,192506
g41,g41_contig_4,129173
g42,g42_contig_4,5423680
g42,g42_contig_3,1446465
g42,g42_contig_2,185011
g42,g42_contig_1,124845
g43,g43_contig_3,3633935
g43,g43_contig_2,1654950
g43,g43_contig_1,1633739
g44,g44_contig_1,3715266
g44,g44_contig_5,1680090
g44,g44_contig_4,1255763
g44,g44_contig_3,299629
g44,g44_contig_2,131064
g45,g45_contig_4,3703129
g45,g45_contig_3,1653504
g45,g45_contig_2,1404501
g45,g45_contig_1,192499
g45,g45_contig_5,129168
