gene,sequence_length
AAH1,1114
COQ3_2,795
COQ3_3,828
COQ5_1,822
COQ5_1~~~COQ5_2~~~COQ5_3,1181
COQ5_4,666
COQ5_5,1023
COQ5_5~~~COQ5_2,780
FCS1,2064
IMPDH_1,477
IMPDH_2,429
IMPDH_2~~~hrp1,636
IMPDH_3,672
NADK,774
OSGEPL1,657
PGdx,486
PSK,1284
QRSL1~~~cnbH_1,1566
RBKS_2~~~psuK,1029
Vejaci,1113
aacA4,519
aaeA_2,1230
aarA,1290
aat,615
aatB_2,1233
abaF,1338
abgB_2,1584
abgB_3,1446
abgT,1545
abo_2,2421
abo_4~~~abo_5,2449
abo_6,1332
accA,954
accA1_1,1989
accB,477
accC,1344
accD,915
acdA_1,1143
acdA_2,1161
ackA_1,1176
acnA,2691
acoA_1,1047
acoA_2,1029
acoB,978
acpP_1,252
acpP_5~~~acpP_4,387
acpS,420
acpXL,282
acr3,1080
acrB,3147
acsA_1,1953
acsA_2,1908
acsA_2~~~acsA_3,1950
acsA_4,1644
acsE,960
actIII,831
actP,2484
acxA,2130
acxC,498
acyP,285
ada,873
ade2,1992
adeC,1827
adeP_1,1293
adeP_2,1401
adh1_1,1108
adh1_2,1201
adhC2,1044
adhT~~~tdh_3,1080
adh_1,1023
adh_2,1509
adk,579
aes_1,939
aes_2,981
afr_1~~~iolG_16,1029
afr_2,1002
agaAII,1161
agpA_2,2082
ahcY,1401
aidB,1653
alaC,1218
ald2_1,717
ald2_2,669
aldA,1437
aldHT_1,1434
aldHT_2,1341
ald_1,1416
ald_3,1119
ald_4,1434
algE5,1615
alkB,612
alkJ_1~~~alkJ_2~~~alkJ_7,1684
alkJ_6,1656
allA_1,507
allA_1~~~allA_2,492
alr,1140
alsB,960
alsT_2~~~alsT_1,1419
alsT_3,1431
amiC_1,1293
amiC_2,1167
amiC_3,1251
amiD_2,1434
amiR,616
amn,1503
ampC,1161
ampR,885
amtB,1356
andAa_2,1293
anmK,1149
ant1,783
apaG,393
apbC,1155
apc3_3,2022
